Airline Code,Flight Number,Flight Status,Aircraft Code,Aircraft Name,Duration Minutes,Departure Airport Code,Departure Airport,Departure City,Departure Terminal,Departure Time,Estimated Departure,Arrival Airport Code,Arrival Airport,Arrival City,Arrival Terminal,Arrival Time,Estimated Arrival,Booking Classes,Captured URL,Captured At
VN,422,arrived,787,787  ALL SERIES PASSENGER,280.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T01:48:00,2026-05-10T01:10:00,PUS,GIMHAE INTL,BUSAN,I,2026-05-10T08:21:00,2026-05-10T07:50:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=422&departureDate=2026-05-10,
VN,423,arrived,787,787  ALL SERIES PASSENGER,295.0,PUS,GIMHAE INTL,BUSAN,I,2026-05-10T09:47:00,2026-05-10T10:00:00,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T12:35:00,2026-05-10T12:55:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=423&departureDate=2026-05-10,
VN,428,arrived,787,787  ALL SERIES PASSENGER,230.0,HAN,NOI BAI INTL,HANOI,2,2026-05-10T01:17:00,2026-05-10T01:15:00,PUS,GIMHAE INTL,BUSAN,I,2026-05-10T06:52:00,2026-05-10T07:05:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=428&departureDate=2026-05-10,
VN,429,arrived,787,787  ALL SERIES PASSENGER,255.0,PUS,GIMHAE INTL,BUSAN,I,2026-05-10T10:39:00,2026-05-10T11:00:00,HAN,NOI BAI INTL,HANOI,2,2026-05-10T13:00:00,2026-05-10T13:15:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=429&departureDate=2026-05-10,
VN,430,arrived,321,AIRBUS A321,270.0,DAD,INTERNATIONAL,DA NANG,2,2026-05-10T23:18:00,2026-05-10T23:30:00,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-11T05:49:00,2026-05-11T06:00:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=430&departureDate=2026-05-10,
VN,431,arrived,321,AIRBUS A321,285.0,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T11:09:00,2026-05-10T11:05:00,DAD,INTERNATIONAL,DA NANG,2,2026-05-10T14:06:00,2026-05-10T13:50:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=431&departureDate=2026-05-10,
VN,435,arrived,321,AIRBUS A321,275.0,PUS,GIMHAE INTL,BUSAN,I,2026-05-10T08:03:00,2026-05-10T08:10:00,CXR,CAM RANH INTL,NHA TRANG,2,2026-05-10T10:37:00,2026-05-10T10:45:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=435&departureDate=2026-05-10,
VN,440,arrived,321,AIRBUS A321,295.0,CXR,CAM RANH INTL,NHA TRANG,2,2026-05-10T21:26:00,2026-05-10T21:35:00,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-11T04:11:00,2026-05-11T04:30:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=440&departureDate=2026-05-10,
VN,441,arrived,321,AIRBUS A321,295.0,ICN,INCHEON INTERNATIONAL,SEOUL,1,2026-05-10T06:41:00,2026-05-10T06:50:00,CXR,CAM RANH INTL,NHA TRANG,2,2026-05-10T09:35:00,2026-05-10T09:45:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=441&departureDate=2026-05-10,
VN,502,arrived,321,AIRBUS A321,180.0,SGN,TAN SON NHAT INTL,HO CHI MINH CITY,2,2026-05-10T10:20:00,2026-05-10T10:10:00,CAN,BAIYUN INTL,GUANGZHOU,2,2026-05-10T14:16:00,2026-05-10T14:10:00,"J, C, D, I, O, Y, B, M, S, H, K, L, Q, N, R, T, A, E, P, G, X, V",https://integration-middleware-website.vietnamairlines.com/api/v1/public/flight/info?marketingAirlineCode=VN&marketingFlightNumber=502&departureDate=2026-05-10,
